,poches,score
30,1HSI_pocket7_atm.pdb;5UPJ_pocket3_atm.pdb,0.0
31,1IDB_pocket0_atm.pdb;1HII_pocket8_atm.pdb,0.0
32,3S45_pocket10_atm.pdb;1JLD_pocket8_atm.pdb,0.0
33,3ECG_pocket5_atm.pdb;1IVP_pocket9_atm.pdb,0.0
34,2MIP_pocket0_atm.pdb;6UPJ_pocket7_atm.pdb,0.0
35,5UPJ_pocket3_atm.pdb;1IDB_pocket2_atm.pdb,0.0
36,3EBZ_pocket7_atm.pdb;3ECG_pocket7_atm.pdb,0.0
37,3UPJ_pocket2_atm.pdb;3UPJ_pocket0_atm.pdb,0.0
38,1IVP_pocket10_atm.pdb;1HSH_pocket3_atm.pdb,0.0
39,1IVP_pocket1_atm.pdb;2HPF_pocket4_atm.pdb,0.0
40,3S45_pocket10_atm.pdb;1IVQ_pocket1_atm.pdb,0.0
41,1IVQ_pocket7_atm.pdb;3ECG_pocket6_atm.pdb,0.0
42,1IDB_pocket4_atm.pdb;3EC0_pocket9_atm.pdb,0.0
43,3UPJ_pocket1_atm.pdb;2MIP_pocket4_atm.pdb,0.0
44,5UPJ_pocket6_atm.pdb;3ECG_pocket7_atm.pdb,0.0
45,1IVP_pocket10_atm.pdb;1HSI_pocket6_atm.pdb,0.0
46,4UPJ_pocket3_atm.pdb;1IVQ_pocket1_atm.pdb,0.0
47,1HSI_pocket3_atm.pdb;3EC0_pocket4_atm.pdb,0.0
48,1IVP_pocket1_atm.pdb;6UPJ_pocket4_atm.pdb,0.0909
49,1HII_pocket3_atm.pdb;1IDB_pocket7_atm.pdb,0.0
50,6UPJ_pocket3_atm.pdb;1IVQ_pocket5_atm.pdb,0.0
51,1JLD_pocket3_atm.pdb;3S45_pocket2_atm.pdb,0.0
52,3ECG_pocket1_atm.pdb;3ECG_pocket11_atm.pdb,0.0
53,3S45_pocket3_atm.pdb;1JLD_pocket3_atm.pdb,0.0
54,2HPE_pocket1_atm.pdb;3EBZ_pocket5_atm.pdb,0.2083
55,2MIP_pocket0_atm.pdb;3S45_pocket3_atm.pdb,0.0049
56,4UPJ_pocket4_atm.pdb;1HII_pocket6_atm.pdb,0.0
57,1JLD_pocket2_atm.pdb;1JLD_pocket9_atm.pdb,0.0
58,1HII_pocket4_atm.pdb;1JLD_pocket2_atm.pdb,0.0
59,1IVQ_pocket3_atm.pdb;1IVP_pocket3_atm.pdb,0.0
60,3S45_pocket5_atm.pdb;6UPJ_pocket7_atm.pdb,0.0
61,2HPF_pocket4_atm.pdb;1HSI_pocket6_atm.pdb,0.0
62,2HPF_pocket4_atm.pdb;1IVP_pocket3_atm.pdb,0.0694
63,1HII_pocket5_atm.pdb;1IDB_pocket8_atm.pdb,0.0
64,3S45_pocket0_atm.pdb;1HII_pocket3_atm.pdb,0.0
65,1IVP_pocket8_atm.pdb;1IDB_pocket8_atm.pdb,0.0
66,1HSI_pocket0_atm.pdb;1IVP_pocket7_atm.pdb,0.0
67,2MIP_pocket5_atm.pdb;2HPF_pocket5_atm.pdb,0.0
68,5UPJ_pocket2_atm.pdb;1HSI_pocket1_atm.pdb,0.0
69,1IVQ_pocket7_atm.pdb;6UPJ_pocket6_atm.pdb,0.0
70,1IDB_pocket4_atm.pdb;1JLD_pocket9_atm.pdb,0.0
71,1HSH_pocket2_atm.pdb;2HPF_pocket5_atm.pdb,0.0
72,2MIP_pocket5_atm.pdb;5UPJ_pocket5_atm.pdb,0.0
73,1IVQ_pocket3_atm.pdb;1HSH_pocket3_atm.pdb,0.0
74,2MIP_pocket2_atm.pdb;3EBZ_pocket6_atm.pdb,0.0
75,3ECG_pocket0_atm.pdb;3ECG_pocket3_atm.pdb,0.0395
76,3ECG_pocket10_atm.pdb;3EBZ_pocket6_atm.pdb,0.0
77,1HSH_pocket4_atm.pdb;3ECG_pocket6_atm.pdb,0.0
78,6UPJ_pocket4_atm.pdb;3ECG_pocket8_atm.pdb,0.0
79,3ECG_pocket4_atm.pdb;6UPJ_pocket2_atm.pdb,0.0
80,2MIP_pocket0_atm.pdb;1IDA_pocket3_atm.pdb,0.0
81,1IVP_pocket10_atm.pdb;3S45_pocket0_atm.pdb,0.0
82,3S45_pocket6_atm.pdb;3EC0_pocket4_atm.pdb,0.0
83,3EBZ_pocket2_atm.pdb;4UPJ_pocket2_atm.pdb,0.0
84,3ECG_pocket0_atm.pdb;1IDB_pocket6_atm.pdb,0.0
85,4UPJ_pocket4_atm.pdb;3EBZ_pocket0_atm.pdb,0.0
86,1IDB_pocket10_atm.pdb;1IDB_pocket1_atm.pdb,0.0133
87,2MIP_pocket2_atm.pdb;2HPF_pocket0_atm.pdb,0.0
88,2HPF_pocket2_atm.pdb;1IDB_pocket6_atm.pdb,0.0
89,5UPJ_pocket6_atm.pdb;1JLD_pocket2_atm.pdb,0.0
90,5UPJ_pocket3_atm.pdb;1IDA_pocket6_atm.pdb,0.0
91,4UPJ_pocket3_atm.pdb;5UPJ_pocket5_atm.pdb,0.0172
92,1IVQ_pocket7_atm.pdb;1HSI_pocket1_atm.pdb,0.0
93,3EBZ_pocket0_atm.pdb;1HSH_pocket1_atm.pdb,0.0
