,poches,score
69,2HPE_pocket4_at;2HPE_pocket11_at,0.0
70,6UPJ_pocket7_at;1JLD_pocket7_at,0.0
71,3EC0_pocket3_at;1IVP_pocket3_at,0.0
72,3S45_pocket4_at;1IDA_pocket3_at,0.0
73,3UPJ_pocket2_at;1IDA_pocket3_at,0.0
74,1HSI_pocket2_at;1HII_pocket1_at,0.0556
75,5UPJ_pocket6_at;1JLD_pocket0_at,0.0843
76,3EC0_pocket9_at;2HPF_pocket2_at,0.1045
77,5UPJ_pocket6_at;3EC0_pocket1_at,0.0
78,1IVP_pocket10_at;1IVP_pocket8_at,0.0
79,1HSH_pocket2_at;2HPE_pocket11_at,0.0164
80,2HPF_pocket4_at;1IVP_pocket2_at,0.0
81,1IVQ_pocket2_at;1IVP_pocket5_at,0.0
82,4UPJ_pocket0_at;3ECG_pocket0_at,0.3741
83,3S45_pocket2_at;6UPJ_pocket8_at,0.0
84,3EBZ_pocket8_at;2HPF_pocket1_at,0.2576
85,1HSH_pocket8_at;1IDA_pocket3_at,0.0
86,5UPJ_pocket6_at;3EBZ_pocket3_at,0.0349
87,1IDB_pocket2_at;1IVP_pocket0_at,0.0135
88,2HPE_pocket4_at;3ECG_pocket4_at,0.0
89,3UPJ_pocket2_at;1HSI_pocket0_at,0.0
90,4UPJ_pocket4_at;3S45_pocket0_at,0.0
91,1IVP_pocket11_at;3ECG_pocket0_at,0.0
92,1HSH_pocket4_at;3EC0_pocket1_at,0.0
93,2HPE_pocket10_at;3S45_pocket3_at,0.0
94,3EC0_pocket0_at;1IVQ_pocket4_at,0.0
95,3UPJ_pocket2_at;3EBZ_pocket2_at,0.5091
96,1JLD_pocket1_at;3S45_pocket11_at,0.0
97,1HSI_pocket3_at;3S45_pocket0_at,0.12
98,3EC0_pocket5_at;1IVP_pocket10_at,0.0
99,1IDB_pocket2_at;1HSH_pocket2_at,0.0
100,1IVQ_pocket7_at;4UPJ_pocket4_at,0.0
101,1IVQ_pocket6_at;2HPE_pocket5_at,0.0
102,1HII_pocket0_at;1IDB_pocket3_at,0.0
103,3S45_pocket5_at;3ECG_pocket5_at,0.0
104,1IVQ_pocket6_at;3S45_pocket9_at,0.0
105,1IVP_pocket11_at;6UPJ_pocket4_at,0.0
106,1JLD_pocket10_at;6UPJ_pocket4_at,0.0
107,1IDA_pocket1_at;3ECG_pocket1_at,0.0
108,5UPJ_pocket1_at;2MIP_pocket3_at,0.0
109,2HPE_pocket0_at;1IDB_pocket3_at,0.0
